Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_northing,UTM_easting,UTC,Zone,Letter
1676050852.2120323,0,63652,0,GPS1_FRAME,1.0398666666666665,-11.918213333333334,1.7,5.6,175187.7226169196,115086.85264829345,174052.0,29,N
1676050853.210573,0,63653,0,GPS1_FRAME,1.039865,-11.918221666666666,1.7,5.9,175186.7940954201,115086.66904914298,174053.0,29,N
1676050854.2271419,0,63654,0,GPS1_FRAME,1.0398616666666667,-11.91823,1.7,6.3,175185.8654032625,115086.30099198155,174054.0,29,N
1676050855.212875,0,63655,0,GPS1_FRAME,1.0398583333333333,-11.918238333333333,1.7,6.7,175184.93671109708,115085.93293481706,174055.0,29,N
1676050856.2278142,0,63656,0,GPS1_FRAME,1.039855,-11.918246666666667,1.7,7.0,175184.00801892398,115085.56487764957,174056.0,29,N
1676050857.211399,0,63657,0,GPS1_FRAME,1.03985,-11.918253333333332,1.7,7.4,175183.26482626883,115085.0121906931,174057.0,29,N
1676050858.2117057,0,63658,0,GPS1_FRAME,1.039845,-11.918261666666666,1.7,7.7,175182.33596343227,115084.45967550235,174058.0,29,N
1676050859.2279866,0,63659,0,GPS1_FRAME,1.03984,-11.91827,1.7,8.0,175181.40710058832,115083.90716030587,174059.0,29,N
1676050860.2278929,0,63660,0,GPS1_FRAME,1.0398366666666667,-11.918278333333335,1.7,8.3,175180.4784083857,115083.53910312217,174100.0,29,N
1676050861.2110908,0,63661,0,GPS1_FRAME,1.0398316666666667,-11.918286666666667,1.7,8.5,175179.54954552662,115082.98658791545,174101.0,29,N
1676050862.210785,0,63662,0,GPS1_FRAME,1.0398266666666667,-11.918293333333335,1.7,8.8,175178.80635284388,115082.4339009333,174102.0,29,N
1676050863.2118688,0,63663,0,GPS1_FRAME,1.0398216666666666,-11.918299999999999,1.7,9.0,175178.06316015957,115081.88121394614,174103.0,29,N
1676050864.2126343,0,63664,0,GPS1_FRAME,1.0398166666666666,-11.918306666666666,1.7,9.3,175177.3199674682,115081.32852695395,174104.0,29,N
1676050865.2104783,0,63665,0,GPS1_FRAME,1.0398116666666666,-11.918315,1.7,9.5,175176.39110458456,115080.77601172515,174105.0,29,N
1676050866.2098598,0,63666,0,GPS1_FRAME,1.0398066666666668,-11.918323333333332,1.7,9.6,175175.46224169346,115080.22349649057,174106.0,29,N
1676050867.211798,0,63667,0,GPS1_FRAME,1.0398033333333332,-11.918331666666667,1.7,9.8,175174.53354944143,115079.85543927748,174107.0,29,N
1676050868.2132616,0,63668,0,GPS1_FRAME,1.0398,-11.918338333333333,1.7,10.0,175173.79052737443,115079.48721029352,174108.0,29,N
1676050869.2130146,0,63669,0,GPS1_FRAME,1.039795,-11.918344999999999,1.7,10.1,175173.04733465926,115078.93452327717,174109.0,29,N
1676050870.213703,0,63670,0,GPS1_FRAME,1.03979,-11.918353333333332,1.7,10.1,175172.11847174127,115078.38200802288,174110.0,29,N
1676050871.2138932,0,63671,0,GPS1_FRAME,1.039785,-11.91836,1.7,10.2,175171.37527901313,115077.82932099604,174111.0,29,N
1676050872.2134907,0,63672,0,GPS1_FRAME,1.0397816666666666,-11.918366666666666,1.7,10.3,175170.63225692575,115077.46109199732,174112.0,29,N
1676050873.229695,0,63673,0,GPS1_FRAME,1.0397766666666668,-11.918375,1.7,10.3,175169.7033939886,115076.90857672774,174113.0,29,N
1676050874.2108064,0,63674,0,GPS1_FRAME,1.0397716666666665,-11.918381666666667,1.7,10.3,175168.96020124853,115076.3558896865,174114.0,29,N
1676050875.2116168,0,63675,0,GPS1_FRAME,1.0397666666666665,-11.918388333333333,1.7,10.4,175168.21700850135,115075.80320264027,174115.0,29,N
1676050876.2116027,0,63676,0,GPS1_FRAME,1.0397616666666667,-11.918395,1.7,10.5,175167.47381574987,115075.25051558905,174116.0,29,N
