Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_northing,UTM_easting,UTC,Zone,Letter
1676051462.2521656,0,64262,0,GPS1_FRAME,1.0388600000000001,-11.921478333333333,1.4,27.8,174823.89108529256,114975.77637544285,175102.0,29,N
1676051463.2520943,0,64263,0,GPS1_FRAME,1.0388616666666666,-11.921483333333333,1.4,27.7,174823.33424365526,114975.96134938486,175103.0,29,N
1676051464.2527707,0,64264,0,GPS1_FRAME,1.0388633333333332,-11.921483333333333,1.4,27.7,174823.33441433246,114976.14580793213,175104.0,29,N
1676051465.2518008,0,64265,0,GPS1_FRAME,1.0388683333333333,-11.921491666666666,1.4,29.3,174822.4065725046,114976.70004257408,175105.0,29,N
1676051466.251673,0,64266,0,GPS1_FRAME,1.0388683333333333,-11.921493333333332,1.4,29.1,174822.22090173268,114976.70021437443,175106.0,29,N
1676051467.2504807,0,64267,0,GPS1_FRAME,1.0388666666666666,-11.921496666666666,2.1,29.6,174821.8493895064,114976.51609942595,175107.0,29,N
1676051468.2502043,0,64268,0,GPS1_FRAME,1.0388683333333333,-11.9215,2.1,30.1,174821.47821863665,114976.70090157678,175108.0,29,N
1676051469.2506955,0,64269,0,GPS1_FRAME,1.0388666666666666,-11.921503333333334,2.1,30.7,174821.10670640774,114976.516786628,175109.0,29,N
1676051470.2495818,0,64270,0,GPS1_FRAME,1.0388666666666666,-11.921506666666666,2.1,31.3,174820.73536485666,114976.51713022961,175110.0,29,N
1676051471.2507892,0,64271,0,GPS1_FRAME,1.0388666666666666,-11.921511666666667,2.1,31.8,174820.17835252947,114976.51764563276,175111.0,29,N
1676051472.2508545,0,64272,0,GPS1_FRAME,1.0388666666666666,-11.921515,2.1,32.1,174819.80701097572,114976.51798923535,175112.0,29,N
1676051473.25047,0,64273,0,GPS1_FRAME,1.0388666666666666,-11.921516666666667,2.1,32.3,174819.62134019984,114976.5181610368,175113.0,29,N
1676051474.2508023,0,64274,0,GPS1_FRAME,1.0388666666666666,-11.921518333333333,2.1,32.4,174819.4356694208,114976.51833283836,175114.0,29,N
1676051475.25164,0,64275,0,GPS1_FRAME,1.0388666666666666,-11.921516666666667,1.5,32.5,174819.62134019984,114976.5181610368,175115.0,29,N
1676051476.250871,0,64276,0,GPS1_FRAME,1.0388666666666666,-11.921516666666667,1.5,32.5,174819.62134019984,114976.5181610368,175116.0,29,N
1676051477.251431,0,64277,0,GPS1_FRAME,1.0388683333333333,-11.921521666666667,1.5,32.5,174819.064498548,114976.70313499533,175117.0,29,N
1676051478.2508879,0,64278,0,GPS1_FRAME,1.0388683333333333,-11.921526666666667,1.5,32.5,174818.50748621073,114976.70365040198,175118.0,29,N
1676051479.2496285,0,64279,0,GPS1_FRAME,1.0388683333333333,-11.921535,2.4,32.4,174817.57913231367,114976.70450941501,175119.0,29,N
1676051480.24968,0,64280,0,GPS1_FRAME,1.0388683333333333,-11.921541666666666,2.4,32.3,174816.83644919266,114976.70519662723,175120.0,29,N
1676051481.251675,0,64281,0,GPS1_FRAME,1.03887,-11.921546666666666,2.1,32.2,174816.27960753033,114976.8901705951,175121.0,29,N
1676051482.2508254,0,64282,0,GPS1_FRAME,1.03887,-11.921548333333334,2.1,32.2,174816.09393674647,114976.89034239897,175122.0,29,N
1676051483.250779,0,64283,0,GPS1_FRAME,1.0388716666666666,-11.921555000000001,2.1,32.1,174815.3514242969,114977.07548817451,175123.0,29,N
1676051484.2515445,0,64284,0,GPS1_FRAME,1.0388716666666666,-11.921561666666666,2.1,32.0,174814.60874116345,114977.07617539364,175124.0,29,N
1676051485.2542977,0,64285,0,GPS1_FRAME,1.0388716666666666,-11.921568333333333,1.4,32.0,174813.86605802266,114977.07686261435,175125.0,29,N
1676051486.2536147,0,64286,0,GPS1_FRAME,1.0388716666666666,-11.921574999999999,1.4,32.0,174813.1233748803,114977.07754983663,175126.0,29,N
1676051487.251756,0,64287,0,GPS1_FRAME,1.0388733333333333,-11.92158,2.1,31.8,174812.56653320155,114977.2625238176,175127.0,29,N
1676051488.2701988,0,64288,0,GPS1_FRAME,1.0388733333333333,-11.921585,1.4,31.7,174812.00952083903,114977.26303923706,175128.0,29,N
1676051489.2703502,0,64289,0,GPS1_FRAME,1.0388733333333333,-11.921586666666666,1.4,31.6,174811.82385005185,114977.26321104374,175129.0,29,N
1676051490.2506058,0,64290,0,GPS1_FRAME,1.0388733333333333,-11.921588333333334,2.1,31.5,174811.6381792616,114977.26338285053,175130.0,29,N
1676051491.251295,0,64291,0,GPS1_FRAME,1.0388733333333333,-11.921593333333334,2.1,31.5,174811.08116689482,114977.26389827146,175131.0,29,N
1676051492.2677548,0,64292,0,GPS1_FRAME,1.0388716666666666,-11.921595,2.1,31.5,174810.89532542083,114977.07961151292,175132.0,29,N
1676051493.2507942,0,64293,0,GPS1_FRAME,1.0388716666666666,-11.921601666666668,2.1,31.5,174810.15264225792,114977.08029874151,175133.0,29,N
1676051494.2504528,0,64294,0,GPS1_FRAME,1.0388716666666666,-11.92161,2.1,31.6,174809.22428829933,114977.08115777945,175134.0,29,N
