Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_northing,UTM_easting,UTC,Zone,Letter
1676050019.2418284,0,62819,0,GPS1_FRAME,1.039215,-11.917815,2.4,2.6,175232.03108530497,115014.68854246028,172659.0,29,N
1676050020.2410815,0,62820,0,GPS1_FRAME,1.03921,-11.917805,2.4,3.1,175233.14459459257,115014.1341388001,172700.0,29,N
1676050021.2425299,0,62821,0,GPS1_FRAME,1.0392033333333333,-11.917795,2.4,3.6,175234.2579333565,115013.39527721517,172701.0,29,N
1676050022.241838,0,62822,0,GPS1_FRAME,1.0391983333333334,-11.917785,2.4,4.1,175235.37144263752,115012.84087358366,172702.0,29,N
1676050023.2428744,0,62823,0,GPS1_FRAME,1.03919,-11.917778333333333,2.4,4.4,175236.11327061144,115011.9178973636,172703.0,29,N
1676050024.2421532,0,62824,0,GPS1_FRAME,1.03918,-11.917775,2.4,4.4,175236.4835878096,115010.81080648612,172704.0,29,N
1676050025.2422445,0,62825,0,GPS1_FRAME,1.03917,-11.917775,2.4,4.7,175236.48256474448,115009.70405887662,172705.0,29,N
1676050026.242086,0,62826,0,GPS1_FRAME,1.0391616666666665,-11.917779999999999,2.4,5.0,175235.92470178398,115008.78228409012,172706.0,29,N
1676050027.242219,0,62827,0,GPS1_FRAME,1.0391516666666667,-11.917785,2.4,5.2,175235.36666831718,115007.67605135977,172707.0,29,N
1676050028.2419178,0,62828,0,GPS1_FRAME,1.0391416666666666,-11.917791666666666,2.4,5.4,175234.62296471087,115006.56999024726,172708.0,29,N
1676050029.2424033,0,62829,0,GPS1_FRAME,1.0391333333333332,-11.917798333333334,2.4,5.6,175233.8794316107,115005.64838706191,172709.0,29,N
1676050030.2412329,0,62830,0,GPS1_FRAME,1.0391233333333334,-11.917803333333334,2.4,5.8,175233.32139815122,115004.54215430276,172710.0,29,N
1676050031.242116,0,62831,0,GPS1_FRAME,1.0391166666666667,-11.917811666666667,2.4,5.9,175232.3923654086,115003.80518066304,172711.0,29,N
1676050032.2411685,0,62832,0,GPS1_FRAME,1.0391083333333333,-11.91782,2.4,5.9,175231.46316215675,115002.88374907253,172712.0,29,N
1676050033.2426279,0,62833,0,GPS1_FRAME,1.0391016666666666,-11.917826666666667,2.4,6.0,175230.7197995506,115002.146603792,172713.0,29,N
1676050034.241591,0,62834,0,GPS1_FRAME,1.0390933333333334,-11.917835,2.4,6.1,175229.7905962899,115001.22517218124,172714.0,29,N
1676050035.2422755,0,62835,0,GPS1_FRAME,1.0390866666666667,-11.917843333333334,2.4,6.2,175228.8615635244,115000.48819850525,172715.0,29,N
1676050036.2426727,0,62836,0,GPS1_FRAME,1.0390783333333333,-11.91785,2.4,6.3,175228.11803040968,114999.5665952534,172716.0,29,N
