Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,Fix_quality
1677521940.5184646,0,181854,0,GPS1_FRAME,42.33641052246094,-71.08844757080078,38.20000076293945,1.0800000429153442,327949.84375,4689241.0,18:18:54,19.0,T,2.0
1677521940.618428,0,181854,0,GPS1_FRAME,42.33641052246094,-71.08844757080078,38.20000076293945,1.0800000429153442,327949.84375,4689241.0,18:18:54,19.0,T,2.0
1677521941.1017826,0,181854,0,GPS1_FRAME,42.33641052246094,-71.08844757080078,38.20000076293945,1.0800000429153442,327949.84375,4689241.0,18:18:54,19.0,T,2.0
1677521941.1036828,0,181854,0,GPS1_FRAME,42.33641052246094,-71.08844757080078,38.20000076293945,1.0800000429153442,327949.84375,4689241.0,18:18:54,19.0,T,2.0
1677521941.2084281,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521941.3297007,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521941.4080358,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521941.5080252,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521941.6081157,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521941.7080314,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521941.8080447,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521941.9081717,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521942.0075917,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521942.1081414,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521942.2079406,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521942.3078866,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521942.4081633,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521942.5079565,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521942.6080964,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521942.7078812,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521942.8077505,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521942.9080658,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521943.0083208,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521943.1060214,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521943.2080784,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521943.3076997,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521943.4077752,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521943.507813,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521943.6080036,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521943.707623,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521943.8079116,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521943.90951,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521944.0080647,0,181901,0,GPS1_FRAME,42.33640670776367,-71.08843231201172,40.0,1.1399999856948853,327951.6875,4689240.5,18:19:01,19.0,T,2.0
1677521944.1086755,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521944.2082207,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521944.308219,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521944.4082522,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521944.5080614,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521944.6079361,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521944.7081285,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521944.8083024,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521944.907756,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521945.0080576,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521945.1081715,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521945.2078822,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521945.3083837,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521945.407987,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521945.5083792,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521945.6078835,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521945.7078505,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521945.8083405,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521945.9080303,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521946.008132,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521946.1080968,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521946.2077696,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521946.3081167,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521946.4080021,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521946.508213,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521946.6077843,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521946.7079694,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521946.808787,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521946.9084392,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521947.0078483,0,181902,0,GPS1_FRAME,42.33640670776367,-71.08842468261719,40.099998474121094,1.100000023841858,327951.84375,4689240.5,18:19:02,19.0,T,2.0
1677521947.108516,0,181903,0,GPS1_FRAME,42.3364143371582,-71.08842468261719,40.900001525878906,0.9300000071525574,327951.9375,4689241.0,18:19:03,19.0,T,5.0
1677521947.208183,0,181903,0,GPS1_FRAME,42.3364143371582,-71.08842468261719,40.900001525878906,0.9300000071525574,327951.9375,4689241.0,18:19:03,19.0,T,5.0
1677521947.308032,0,181903,0,GPS1_FRAME,42.3364143371582,-71.08842468261719,40.900001525878906,0.9300000071525574,327951.9375,4689241.0,18:19:03,19.0,T,5.0
1677521947.408037,0,181903,0,GPS1_FRAME,42.3364143371582,-71.08842468261719,40.900001525878906,0.9300000071525574,327951.9375,4689241.0,18:19:03,19.0,T,5.0
1677521947.5079503,0,181903,0,GPS1_FRAME,42.3364143371582,-71.08842468261719,40.900001525878906,0.9300000071525574,327951.9375,4689241.0,18:19:03,19.0,T,5.0
1677521947.607888,0,181903,0,GPS1_FRAME,42.3364143371582,-71.08842468261719,40.900001525878906,0.9300000071525574,327951.9375,4689241.0,18:19:03,19.0,T,5.0
1677521947.708275,0,181903,0,GPS1_FRAME,42.3364143371582,-71.08842468261719,40.900001525878906,0.9300000071525574,327951.9375,4689241.0,18:19:03,19.0,T,5.0
1677521947.8081908,0,181903,0,GPS1_FRAME,42.3364143371582,-71.08842468261719,40.900001525878906,0.9300000071525574,327951.9375,4689241.0,18:19:03,19.0,T,5.0
1677521947.9078836,0,181903,0,GPS1_FRAME,42.3364143371582,-71.08842468261719,40.900001525878906,0.9300000071525574,327951.9375,4689241.0,18:19:03,19.0,T,5.0
1677521948.00795,0,181903,0,GPS1_FRAME,42.3364143371582,-71.08842468261719,40.900001525878906,0.9300000071525574,327951.9375,4689241.0,18:19:03,19.0,T,5.0
1677521948.1078928,0,181903,0,GPS1_FRAME,42.3364143371582,-71.08842468261719,40.900001525878906,0.9300000071525574,327951.9375,4689241.0,18:19:03,19.0,T,5.0
