time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/03/24/13:37:35.202837,132,1679679455,202142238,GPS1_FRAME,42.33941,-71.09048,17.7,1.2,327790.8692247495,4689578.069001393,173735.0,19,T
2023/03/24/13:37:36.202688,133,1679679456,202069520,GPS1_FRAME,42.33941,-71.09048,17.7,1.2,327790.8692247495,4689578.069001393,173736.0,19,T
2023/03/24/13:37:37.205091,134,1679679457,204533338,GPS1_FRAME,42.33941,-71.09048,17.7,1.2,327790.8692247495,4689578.069001393,173737.0,19,T
2023/03/24/13:37:38.203530,135,1679679458,202957630,GPS1_FRAME,42.33941,-71.09048166666666,17.8,1.2,327790.7319226753,4689578.072376953,173738.0,19,T
2023/03/24/13:37:39.205904,136,1679679459,204551696,GPS1_FRAME,42.33941,-71.09048166666666,17.8,1.2,327790.7319226753,4689578.072376953,173739.0,19,T
2023/03/24/13:37:40.206257,137,1679679460,205368518,GPS1_FRAME,42.33941,-71.09048166666666,17.8,1.2,327790.7319226753,4689578.072376953,173740.0,19,T
2023/03/24/13:37:41.203583,138,1679679461,202972173,GPS1_FRAME,42.33941,-71.09048333333334,17.8,1.2,327790.59462060104,4689578.075752516,173741.0,19,T
2023/03/24/13:37:42.204726,139,1679679462,203882217,GPS1_FRAME,42.33941,-71.09048333333334,17.8,1.2,327790.59462060104,4689578.075752516,173742.0,19,T
2023/03/24/13:37:43.208545,140,1679679463,207625389,GPS1_FRAME,42.33941,-71.090485,17.8,1.2,327790.45731852885,4689578.079128081,173743.0,19,T
2023/03/24/13:37:44.205313,141,1679679464,204625606,GPS1_FRAME,42.33941,-71.090485,17.8,1.2,327790.45731852885,4689578.079128081,173744.0,19,T
2023/03/24/13:37:45.203628,142,1679679465,203294515,GPS1_FRAME,42.33941,-71.090485,17.8,1.2,327790.45731852885,4689578.079128081,173745.0,19,T
2023/03/24/13:37:46.205115,143,1679679466,204453706,GPS1_FRAME,42.33941,-71.090485,17.8,1.2,327790.45731852885,4689578.079128081,173746.0,19,T
2023/03/24/13:37:47.204888,144,1679679467,204192161,GPS1_FRAME,42.33941,-71.090485,17.8,1.2,327790.45731852885,4689578.079128081,173747.0,19,T
2023/03/24/13:37:48.205969,145,1679679468,205019950,GPS1_FRAME,42.33941,-71.090485,17.8,1.2,327790.45731852885,4689578.079128081,173748.0,19,T
2023/03/24/13:37:49.205433,146,1679679469,204781532,GPS1_FRAME,42.33941,-71.090485,17.8,1.2,327790.45731852885,4689578.079128081,173749.0,19,T
2023/03/24/13:37:50.203696,147,1679679470,203069210,GPS1_FRAME,42.33941,-71.090485,17.8,1.2,327790.45731852885,4689578.079128081,173750.0,19,T
2023/03/24/13:37:51.204222,148,1679679471,203424692,GPS1_FRAME,42.33941,-71.090485,17.8,1.2,327790.45731852885,4689578.079128081,173751.0,19,T
2023/03/24/13:37:52.205612,149,1679679472,204936027,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173752.0,19,T
2023/03/24/13:37:53.206255,150,1679679473,204021692,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173753.0,19,T
2023/03/24/13:37:54.204208,151,1679679474,203568935,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173754.0,19,T
2023/03/24/13:37:55.206262,152,1679679475,205620288,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173755.0,19,T
2023/03/24/13:37:56.203871,153,1679679476,203198432,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173756.0,19,T
2023/03/24/13:37:57.207734,154,1679679477,206708669,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173757.0,19,T
